Date,City,District,State,Cases,Latitude,Longitude
2025-07-30,Tumkur,Tumkur,Karnataka,23,13.3422,77.101
2025-07-29,Bangalore,Bangalore Urban,Karnataka,21,12.9716,77.5946
2025-07-29,Mysore,Mysore,Karnataka,15,12.2958,76.6394
2025-07-29,Hubli,Dharwad,Karnataka,9,15.3647,75.124
2025-07-29,Mangalore,Dakshina Kannada,Karnataka,22,12.9141,74.856
2025-07-29,Belgaum,Belgaum,Karnataka,25,15.8497,74.4977
2025-07-29,Tumkur,Tumkur,Karnataka,20,13.3422,77.101
2025-07-28,Bangalore,Bangalore Urban,Karnataka,15,12.9716,77.5946
2025-07-28,Mysore,Mysore,Karnataka,12,12.2958,76.6394
2025-07-28,Hubli,Dharwad,Karnataka,20,15.3647,75.124
2025-07-28,Mangalore,Dakshina Kannada,Karnataka,22,12.9141,74.856
2025-07-28,Belgaum,Belgaum,Karnataka,25,15.8497,74.4977
2025-07-28,Tumkur,Tumkur,Karnataka,22,13.3422,77.101
2025-07-27,Bangalore,Bangalore Urban,Karnataka,3,12.9716,77.5946
2025-07-27,Mysore,Mysore,Karnataka,14,12.2958,76.6394
2025-07-27,Hubli,Dharwad,Karnataka,0,15.3647,75.124
2025-07-27,Mangalore,Dakshina Kannada,Karnataka,9,12.9141,74.856
2025-07-27,Belgaum,Belgaum,Karnataka,15,15.8497,74.4977
2025-07-27,Tumkur,Tumkur,Karnataka,19,13.3422,77.101
2025-07-26,Bangalore,Bangalore Urban,Karnataka,13,12.9716,77.5946
2025-07-26,Mysore,Mysore,Karnataka,15,12.2958,76.6394
2025-07-26,Hubli,Dharwad,Karnataka,23,15.3647,75.124
2025-07-26,Mangalore,Dakshina Kannada,Karnataka,22,12.9141,74.856
2025-07-26,Belgaum,Belgaum,Karnataka,4,15.8497,74.4977
2025-07-26,Tumkur,Tumkur,Karnataka,14,13.3422,77.101
2025-07-25,Bangalore,Bangalore Urban,Karnataka,3,12.9716,77.5946
2025-07-25,Mysore,Mysore,Karnataka,0,12.2958,76.6394
2025-07-25,Hubli,Dharwad,Karnataka,20,15.3647,75.124
2025-07-25,Mangalore,Dakshina Kannada,Karnataka,6,12.9141,74.856
2025-07-25,Belgaum,Belgaum,Karnataka,9,15.8497,74.4977
2025-07-25,Tumkur,Tumkur,Karnataka,24,13.3422,77.101
2025-07-24,Bangalore,Bangalore Urban,Karnataka,13,12.9716,77.5946
2025-07-24,Mysore,Mysore,Karnataka,7,12.2958,76.6394
2025-07-24,Hubli,Dharwad,Karnataka,22,15.3647,75.124
2025-07-24,Mangalore,Dakshina Kannada,Karnataka,4,12.9141,74.856
2025-07-24,Belgaum,Belgaum,Karnataka,0,15.8497,74.4977
2025-07-24,Tumkur,Tumkur,Karnataka,0,13.3422,77.101
2025-07-23,Bangalore,Bangalore Urban,Karnataka,0,12.9716,77.5946
2025-07-23,Mysore,Mysore,Karnataka,20,12.2958,76.6394
2025-07-23,Hubli,Dharwad,Karnataka,2,15.3647,75.124
2025-07-23,Mangalore,Dakshina Kannada,Karnataka,23,12.9141,74.856
2025-07-23,Belgaum,Belgaum,Karnataka,14,15.8497,74.4977
2025-07-23,Tumkur,Tumkur,Karnataka,4,13.3422,77.101
2025-07-22,Bangalore,Bangalore Urban,Karnataka,17,12.9716,77.5946
2025-07-22,Mysore,Mysore,Karnataka,15,12.2958,76.6394
2025-07-22,Hubli,Dharwad,Karnataka,2,15.3647,75.124
2025-07-22,Mangalore,Dakshina Kannada,Karnataka,10,12.9141,74.856
2025-07-22,Belgaum,Belgaum,Karnataka,21,15.8497,74.4977
2025-07-22,Tumkur,Tumkur,Karnataka,7,13.3422,77.101
2025-07-21,Bangalore,Bangalore Urban,Karnataka,15,12.9716,77.5946
2025-07-21,Mysore,Mysore,Karnataka,7,12.2958,76.6394
2025-07-21,Hubli,Dharwad,Karnataka,23,15.3647,75.124
2025-07-21,Mangalore,Dakshina Kannada,Karnataka,5,12.9141,74.856
2025-07-21,Belgaum,Belgaum,Karnataka,3,15.8497,74.4977
2025-07-21,Tumkur,Tumkur,Karnataka,15,13.3422,77.101
2025-07-20,Bangalore,Bangalore Urban,Karnataka,22,12.9716,77.5946
2025-07-20,Mysore,Mysore,Karnataka,21,12.2958,76.6394
2025-07-20,Hubli,Dharwad,Karnataka,9,15.3647,75.124
2025-07-20,Mangalore,Dakshina Kannada,Karnataka,6,12.9141,74.856
2025-07-20,Belgaum,Belgaum,Karnataka,10,15.8497,74.4977
2025-07-20,Tumkur,Tumkur,Karnataka,6,13.3422,77.101
2025-07-19,Bangalore,Bangalore Urban,Karnataka,23,12.9716,77.5946
2025-07-19,Mysore,Mysore,Karnataka,6,12.2958,76.6394
2025-07-19,Hubli,Dharwad,Karnataka,25,15.3647,75.124
2025-07-19,Mangalore,Dakshina Kannada,Karnataka,9,12.9141,74.856
2025-07-19,Belgaum,Belgaum,Karnataka,24,15.8497,74.4977
2025-07-19,Tumkur,Tumkur,Karnataka,2,13.3422,77.101
2025-07-18,Bangalore,Bangalore Urban,Karnataka,1,12.9716,77.5946
2025-07-18,Mysore,Mysore,Karnataka,11,12.2958,76.6394
2025-07-18,Hubli,Dharwad,Karnataka,9,15.3647,75.124
2025-07-18,Mangalore,Dakshina Kannada,Karnataka,13,12.9141,74.856
2025-07-18,Belgaum,Belgaum,Karnataka,14,15.8497,74.4977
2025-07-18,Tumkur,Tumkur,Karnataka,23,13.3422,77.101
2025-07-17,Bangalore,Bangalore Urban,Karnataka,3,12.9716,77.5946
2025-07-17,Mysore,Mysore,Karnataka,20,12.2958,76.6394
2025-07-17,Hubli,Dharwad,Karnataka,14,15.3647,75.124
2025-07-17,Mangalore,Dakshina Kannada,Karnataka,23,12.9141,74.856
2025-07-17,Belgaum,Belgaum,Karnataka,22,15.8497,74.4977
2025-07-17,Tumkur,Tumkur,Karnataka,22,13.3422,77.101
2025-07-16,Bangalore,Bangalore Urban,Karnataka,17,12.9716,77.5946
2025-07-16,Mysore,Mysore,Karnataka,21,12.2958,76.6394
2025-07-16,Hubli,Dharwad,Karnataka,23,15.3647,75.124
2025-07-16,Mangalore,Dakshina Kannada,Karnataka,16,12.9141,74.856
2025-07-16,Belgaum,Belgaum,Karnataka,7,15.8497,74.4977
2025-07-16,Tumkur,Tumkur,Karnataka,12,13.3422,77.101
2025-07-15,Bangalore,Bangalore Urban,Karnataka,25,12.9716,77.5946
2025-07-15,Mysore,Mysore,Karnataka,15,12.2958,76.6394
2025-07-15,Hubli,Dharwad,Karnataka,15,15.3647,75.124
2025-07-15,Mangalore,Dakshina Kannada,Karnataka,1,12.9141,74.856
2025-07-15,Belgaum,Belgaum,Karnataka,9,15.8497,74.4977
2025-07-15,Tumkur,Tumkur,Karnataka,4,13.3422,77.101
2025-07-14,Bangalore,Bangalore Urban,Karnataka,16,12.9716,77.5946
2025-07-14,Mysore,Mysore,Karnataka,5,12.2958,76.6394
2025-07-14,Hubli,Dharwad,Karnataka,12,15.3647,75.124
2025-07-14,Mangalore,Dakshina Kannada,Karnataka,22,12.9141,74.856
2025-07-14,Belgaum,Belgaum,Karnataka,4,15.8497,74.4977
2025-07-14,Tumkur,Tumkur,Karnataka,1,13.3422,77.101
2025-07-13,Bangalore,Bangalore Urban,Karnataka,15,12.9716,77.5946
2025-07-13,Mysore,Mysore,Karnataka,9,12.2958,76.6394
2025-07-13,Hubli,Dharwad,Karnataka,15,15.3647,75.124
2025-07-13,Mangalore,Dakshina Kannada,Karnataka,0,12.9141,74.856
2025-07-13,Belgaum,Belgaum,Karnataka,23,15.8497,74.4977
2025-07-13,Tumkur,Tumkur,Karnataka,25,13.3422,77.101
2025-07-12,Bangalore,Bangalore Urban,Karnataka,1,12.9716,77.5946
2025-07-12,Mysore,Mysore,Karnataka,25,12.2958,76.6394
2025-07-12,Hubli,Dharwad,Karnataka,13,15.3647,75.124
2025-07-12,Mangalore,Dakshina Kannada,Karnataka,11,12.9141,74.856
2025-07-12,Belgaum,Belgaum,Karnataka,19,15.8497,74.4977
2025-07-12,Tumkur,Tumkur,Karnataka,24,13.3422,77.101
2025-07-11,Bangalore,Bangalore Urban,Karnataka,24,12.9716,77.5946
2025-07-11,Mysore,Mysore,Karnataka,11,12.2958,76.6394
2025-07-11,Hubli,Dharwad,Karnataka,4,15.3647,75.124
2025-07-11,Mangalore,Dakshina Kannada,Karnataka,4,12.9141,74.856
2025-07-11,Belgaum,Belgaum,Karnataka,0,15.8497,74.4977
2025-07-11,Tumkur,Tumkur,Karnataka,21,13.3422,77.101
2025-07-10,Bangalore,Bangalore Urban,Karnataka,5,12.9716,77.5946
2025-07-10,Mysore,Mysore,Karnataka,8,12.2958,76.6394
2025-07-10,Hubli,Dharwad,Karnataka,24,15.3647,75.124
2025-07-10,Mangalore,Dakshina Kannada,Karnataka,24,12.9141,74.856
2025-07-10,Belgaum,Belgaum,Karnataka,14,15.8497,74.4977
2025-07-10,Tumkur,Tumkur,Karnataka,19,13.3422,77.101
2025-07-09,Bangalore,Bangalore Urban,Karnataka,2,12.9716,77.5946
2025-07-09,Mysore,Mysore,Karnataka,3,12.2958,76.6394
2025-07-09,Hubli,Dharwad,Karnataka,23,15.3647,75.124
2025-07-09,Mangalore,Dakshina Kannada,Karnataka,18,12.9141,74.856
2025-07-09,Belgaum,Belgaum,Karnataka,6,15.8497,74.4977
2025-07-09,Tumkur,Tumkur,Karnataka,21,13.3422,77.101
